[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s6 | unif= 0.995 hi= 1.000 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s7 | unif= 0.931 hi= 1.000 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s8 | unif= 0.902 hi= 0.997 | GROK
[m1_n10_boundary] resuming with 91 existing runs
[m1_n10_boundary] done: 91 runs, 0s
[m1_n12_boundary] resuming with 24 existing runs
[m1_n12_boundary] done: 24 runs, 0s
[m1_budget_curves] resuming with 9 existing runs
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=120k s0 | unif= 0.923 hi= 0.999 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=120k s1 | unif= 0.904 hi= 0.999 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=120k s2 | unif= 0.962 hi= 1.000 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=240k s0 | unif= 0.978 hi= 0.999 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=240k s1 | unif= 0.947 hi= 0.999 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=240k s2 | unif= 0.932 hi= 0.996 | GROK
[m1_budget_curves] a=2.50 wd=0.085 k=0 inj=unif b=128 B=120k s0 | unif= 0.627 hi= 0.992 | PARTIAL
[m1_budget_curves] a=2.50 wd=0.085 k=0 inj=unif b=128 B=120k s1 | unif= 0.975 hi= 1.000 | GROK
[m1_budget_curves] a=2.50 wd=0.085 k=0 inj=unif b=128 B=120k s2 | unif= 0.945 hi= 1.000 | GROK
[m1_budget_curves] a=2.50 wd=0.085 k=0 inj=unif b=128 B=240k s0 | unif= 0.847 hi= 0.997 | PARTIAL
[m1_budget_curves] a=2.50 wd=0.085 k=0 inj=unif b=128 B=240k s1 | unif= 0.967 hi= 1.000 | GROK
[m1_budget_curves] a=2.50 wd=0.085 k=0 inj=unif b=128 B=240k s2 | unif= 0.952 hi= 1.000 | GROK
[m1_budget_curves] a=2.75 wd=0.030 k=0 inj=unif b=128 B=120k s0 | unif= 0.996 hi= 1.000 | GROK
[m1_budget_curves] a=2.75 wd=0.030 k=0 inj=unif b=128 B=120k s1 | unif= 0.991 hi= 1.000 | GROK
[m1_budget_curves] a=2.75 wd=0.030 k=0 inj=unif b=128 B=120k s2 | unif= 0.983 hi= 1.000 | GROK
[m1_budget_curves] a=2.75 wd=0.030 k=0 inj=unif b=128 B=240k s0 | unif= 0.998 hi= 1.000 | GROK
[m1_budget_curves] a=2.75 wd=0.030 k=0 inj=unif b=128 B=240k s1 | unif= 0.989 hi= 1.000 | GROK
[m1_budget_curves] a=2.75 wd=0.030 k=0 inj=unif b=128 B=240k s2 | unif= 0.982 hi= 1.000 | GROK
[m1_budget_curves] done: 27 runs, 4998s
