[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s5 | unif= 0.793 hi= 0.876 lo= 0.768 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s8 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s9 | unif= 0.782 hi= 0.846 lo= 0.762 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s3 | unif= 0.871 hi= 0.987 lo= 0.819 | PARTIAL (104s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s4 | unif= 0.789 hi= 0.848 lo= 0.770 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s8 | unif= 0.801 hi= 0.881 lo= 0.762 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=0.90 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s0 | unif= 0.774 hi= 0.816 lo= 0.759 | PARTIAL (102s)
[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s2 | unif= 0.741 hi= 0.738 lo= 0.745 | PARTIAL (104s)
[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s4 | unif= 0.790 hi= 0.843 lo= 0.770 | PARTIAL (103s)
