[m9_densify] a=2.55 wd=0.078 k=0 inj=unif b=128 B=60k s1 | unif= 0.890 hi= 1.000 | PARTIAL
[m9_densify] a=2.55 wd=0.078 k=0 inj=unif b=128 B=60k s2 | unif= 0.943 hi= 0.999 | GROK
[m9_densify] a=2.55 wd=0.078 k=0 inj=unif b=128 B=60k s3 | unif= 0.957 hi= 1.000 | GROK
[m9_densify] a=2.55 wd=0.078 k=0 inj=unif b=128 B=60k s4 | unif= 0.949 hi= 1.000 | GROK
[m9_densify] a=2.55 wd=0.078 k=0 inj=unif b=128 B=60k s5 | unif= 0.891 hi= 1.000 | PARTIAL
[m9_densify] a=2.55 wd=0.078 k=0 inj=unif b=128 B=60k s6 | unif= 0.927 hi= 1.000 | GROK
[m9_densify] a=2.55 wd=0.078 k=0 inj=unif b=128 B=60k s7 | unif= 0.947 hi= 1.000 | GROK
[m9_densify] a=2.55 wd=0.112 k=0 inj=unif b=128 B=60k s0 | unif= 0.921 hi= 0.998 | GROK
[m9_densify] a=2.55 wd=0.112 k=0 inj=unif b=128 B=60k s1 | unif= 0.972 hi= 0.999 | GROK
[m9_densify] a=2.55 wd=0.112 k=0 inj=unif b=128 B=60k s2 | unif= 0.776 hi= 0.999 | PARTIAL
[m9_densify] a=2.55 wd=0.112 k=0 inj=unif b=128 B=60k s3 | unif= 0.971 hi= 1.000 | GROK
[m9_densify] a=2.55 wd=0.112 k=0 inj=unif b=128 B=60k s4 | unif= 0.928 hi= 1.000 | GROK
[m9_densify] a=2.55 wd=0.112 k=0 inj=unif b=128 B=60k s5 | unif= 0.518 hi= 0.995 | PARTIAL
[m9_densify] a=2.55 wd=0.112 k=0 inj=unif b=128 B=60k s6 | unif= 0.676 hi= 0.997 | PARTIAL
[m9_densify] a=2.55 wd=0.112 k=0 inj=unif b=128 B=60k s7 | unif= 0.794 hi= 0.993 | PARTIAL
[m9_densify] a=2.55 wd=0.145 k=0 inj=unif b=128 B=60k s0 | unif= 0.621 hi= 0.993 | PARTIAL
